horse_name,jockey,trainer,actual_weight,declared_horse_weight,draw,finish_time,win_odds,running_position_1,running_position_2,running_position_3,finishing_position
SUPREME PROFIT,J Moreira,C S Shum,132,1222,2,1.22.66,6.1,6,4,5,4
SICHUAN VIGOUR,J Moreira,J Size,125,1064,5,1.22.32,8.1,6,6,6,10
POSITIVE ENERGY,J Moreira,P F Yiu,115,1161,13,1.10.31,5.7,3,3,4,4
GOLDEN HARVEST,J Moreira,A T Millard,115,1179,11,1.08.37,7.9,7,6,1,1
HIT THE BID,J Moreira,A T Millard,130,1155,5,1.09.74,2.6,3,3,2,2
DARK CORE,J Moreira,J Size,125,1092,6,0.58.31,5.1,8,7,14,14
PRINCIPAL,J Moreira,J Moore,130,1117,9,1.22.49,3.9,12,11,10,4
VARA PEARL,J Moreira,A T Millard,122,1013,5,1.23.23,7.6,5,8,9,3
SUPREME FALCON,J Moreira,J Moore,116,1137,7,1.08.90,2.5,2,2,1,1
BUNDLE OF JOY,J Moreira,D J Hall,128,1184,6,0.55.79,2.8,2,2,1,1
SHANTARAAM,J Moreira,R Gibson,120,1139,4,1.39.28,4.3,1,1,1,2
SLEDGE HAMMER,J Moreira,C S Shum,131,1202,5,1.10.14,2.1,8,8,3,3
GRAND PLUS,J Moreira,J Size,121,1073,8,1.09.25,4,2,2,2,2
SOUL ACHIEVER,J Moreira,A T Millard,124,1139,10,1.09.31,7.4,9,9,1,1
VERDANE,J Moreira,J Moore,125,1075,5,1.39.64,2.8,6,7,8,1
HARBOUR PUNK,J Moreira,D Cruz,132,1046,5,0.56.94,4.3,3,4,8,8
AMBITIOUS KING,J Moreira,A T Millard,133,1183,2,1.09.64,2.1,1,1,6,6
COLOURFUL PROFIT,J Moreira,C S Shum,123,1160,8,1.23.24,60,6,6,9,11
WHAT YOU DREAM,J Moreira,J Moore,133,1089,10,1.22.25,4.5,9,10,9,3
BRILLIANT DREAM,J Moreira,D J Hall,133,1122,7,1.10.00,1.7,2,2,2,2
ARCHER'S BOW,J Moreira,T P Yung,127,1143,13,1.23.30,3,1,2,2,9
DRAGON,J Moreira,J Size,116,1144,7,1.36.37,10,4,4,5,11
FASTER MORE,J Moreira,P F Yiu,118,1180,4,1.35.27,1.9,8,8,6,2
TEOFILO CALVA,J Moreira,J Size,128,1183,2,1.08.68,1.8,3,3,1,1
KABAYAN,J Moreira,J Moore,115,1109,5,1.21.68,3.5,8,10,10,1
MASTER SOMMELIER,J Moreira,J Size,127,1120,6,1.09.39,4.1,6,6,3,3
CRUISE CONTROL,J Moreira,C Fownes,132,1091,1,1.50.61,2.9,3,3,4,1
SIGHT BELIEVER,J Moreira,J Size,124,1166,6,1.10.50,6.4,6,7,7,7
GRAND PLUS,J Moreira,J Size,123,1073,6,1.09.53,2.2,3,2,1,1
ORIENTAL PROSPER,J Moreira,Y S Tsui,133,1220,4,1.10.15,4.9,6,7,2,2
IMPERIAL CONCORDE,J Moreira,S Woods,133,1100,1,1.40.67,2.9,7,8,9,2
REBORN TO WIN,J Moreira,P F Yiu,118,1048,10,1.22.30,3.5,5,5,6,5
BRAVE BROTHER,J Moreira,J Size,131,1171,1,1.09.40,5.2,5,5,3,3
